contrast	contrast_pretty	channel	theta_deg	radius	difference_db_at_peak	in_corrected_cluster_at_peak
Memorize_minus_Ignore	Memorize - Ignore	OZ	178.165438894193	0.356378338522503	-0.920231056901125	1
Memorize_minus_Ignore	Memorize - Ignore	O2	162.50192339947	0.364547633445321	-0.842411913550817	1
Memorize_minus_Ignore	Memorize - Ignore	FP1	-15.915130840833	0.411584736695601	-0.111809265155059	0
Memorize_minus_Ignore	Memorize - Ignore	FPZ	-2.78882719227644	0.403595041302037	-0.115808014113169	0
Memorize_minus_Ignore	Memorize - Ignore	FP2	11.9821523235266	0.406052630372064	-0.18308007144011	0
Memorize_minus_Ignore	Memorize - Ignore	AF7	-29.4836150816112	0.416520601459169	-0.120648049391233	0
Memorize_minus_Ignore	Memorize - Ignore	AF3	-26.5891227254349	0.356438073852551	-0.204585870871177	0
Memorize_minus_Ignore	Memorize - Ignore	AFZ	-2.58410852879766	0.320320837150585	-0.199499647777814	0
Memorize_minus_Ignore	Memorize - Ignore	AF4	21.8346431004155	0.341489861617279	-0.256611825755009	0
Memorize_minus_Ignore	Memorize - Ignore	AF8	29.8691892270115	0.405870139779661	-0.2069609074925	0
Memorize_minus_Ignore	Memorize - Ignore	F9	-52.9558303224015	0.480470362757243	-0.251134103307357	0
Memorize_minus_Ignore	Memorize - Ignore	F7	-47.2921852279512	0.427977151157089	-0.195454720407724	0
Memorize_minus_Ignore	Memorize - Ignore	F5	-43.7134677827144	0.363591675215608	-0.282722213018972	0
Memorize_minus_Ignore	Memorize - Ignore	F3	-38.7497956816935	0.303025213240453	-0.342315182233086	0
Memorize_minus_Ignore	Memorize - Ignore	F1	-23.2265351791712	0.256215879342603	-0.366406590068856	0
Memorize_minus_Ignore	Memorize - Ignore	FZ	-3.83125085106317	0.238400616572945	-0.341158838118785	0
Memorize_minus_Ignore	Memorize - Ignore	F2	16.7330054553367	0.247189547933483	-0.333197988999578	0
Memorize_minus_Ignore	Memorize - Ignore	F4	34.8771480345284	0.275149736071717	-0.33320505802448	0
Memorize_minus_Ignore	Memorize - Ignore	F6	42.0663693398716	0.341720719305685	-0.290135012796292	0
Memorize_minus_Ignore	Memorize - Ignore	F8	47.5237333149337	0.411623539599054	-0.197177826212003	0
Memorize_minus_Ignore	Memorize - Ignore	F10	53.7657511116126	0.470619685720971	-0.151348657046373	0
Memorize_minus_Ignore	Memorize - Ignore	FT9	-66.8111088297217	0.502955243382885	-0.253545701503754	0
Memorize_minus_Ignore	Memorize - Ignore	FT7	-65.1428451416618	0.416539826924952	-0.428344970712295	1
Memorize_minus_Ignore	Memorize - Ignore	FC5	-63.4101894692344	0.331459351806703	-0.515163661195682	1
Memorize_minus_Ignore	Memorize - Ignore	FC3	-57.384916252874	0.248043736494408	-0.58624126876776	1
Memorize_minus_Ignore	Memorize - Ignore	FC1	-40.696042859524	0.15739402874032	-0.54154137808543	1
