contrast	frequency_hz	time_s	cluster_member_channel_count
Memorize_minus_Ignore	12	0.36	23
Memorize_minus_Ignore	14	0.36	19
Memorize_minus_Ignore	16	0.36	7
Memorize_minus_Ignore	18	0.36	0
Memorize_minus_Ignore	20	0.36	0
Memorize_minus_Ignore	22	0.36	0
Memorize_minus_Ignore	24	0.36	0
Memorize_minus_Ignore	26	0.36	0
Memorize_minus_Ignore	28	0.36	0
Memorize_minus_Ignore	30	0.36	0
Memorize_minus_Ignore	4	0.4	24
Memorize_minus_Ignore	6	0.4	32
Memorize_minus_Ignore	8	0.4	43
Memorize_minus_Ignore	10	0.4	40
Memorize_minus_Ignore	12	0.4	29
Memorize_minus_Ignore	14	0.4	22
Memorize_minus_Ignore	16	0.4	15
Memorize_minus_Ignore	18	0.4	7
Memorize_minus_Ignore	20	0.4	4
Memorize_minus_Ignore	22	0.4	0
Memorize_minus_Ignore	24	0.4	0
Memorize_minus_Ignore	26	0.4	0
Memorize_minus_Ignore	28	0.4	0
Memorize_minus_Ignore	30	0.4	0
Memorize_minus_Ignore	4	0.44	27
Memorize_minus_Ignore	6	0.44	36
Memorize_minus_Ignore	8	0.44	54
Memorize_minus_Ignore	10	0.44	52
Memorize_minus_Ignore	12	0.44	32
Memorize_minus_Ignore	14	0.44	33
Memorize_minus_Ignore	16	0.44	38
Memorize_minus_Ignore	18	0.44	24
Memorize_minus_Ignore	20	0.44	8
Memorize_minus_Ignore	22	0.44	6
Memorize_minus_Ignore	24	0.44	4
Memorize_minus_Ignore	26	0.44	0
Memorize_minus_Ignore	28	0.44	0
Memorize_minus_Ignore	30	0.44	0
Memorize_minus_Ignore	4	0.48	28
Memorize_minus_Ignore	6	0.48	35
Memorize_minus_Ignore	8	0.48	67
Memorize_minus_Ignore	10	0.48	67
Memorize_minus_Ignore	12	0.48	48
Memorize_minus_Ignore	14	0.48	49
Memorize_minus_Ignore	16	0.48	52
Memorize_minus_Ignore	18	0.48	49
Memorize_minus_Ignore	20	0.48	34
Memorize_minus_Ignore	22	0.48	9
Memorize_minus_Ignore	24	0.48	3
Memorize_minus_Ignore	26	0.48	0
Memorize_minus_Ignore	28	0.48	0
