contrast	sign	cluster_index	pvalue	cluster_statistic	significant_p_lt_0_05	time_start_ms	time_end_ms	n_channel_time_samples	n_channels	channels	peak_t	peak_channel	peak_time_ms	pvalue_display	significant_within_contrast_0_05	significant_across_three_contrasts_0_016667
Probe_minus_Memorize	positive	4	0.98046875	6.66776022793049	0	696	696	3	3	P7,PO9,PO7	2.30253140515509	PO9	696	0.980469	0	0
Probe_minus_Memorize	negative	1	0.0015869140625	-2376.53655319335	1	168	344	733	53	F5,F3,F1,FZ,F2,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	-6.542946175638	CPZ	264	0.001587	1	1
Probe_minus_Memorize	negative	2	0.02099609375	-904.372713727578	1	840	944	310	48	F9,FT9,FT7,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	-4.39146935135049	P4	864	0.020996	1	0
Probe_minus_Memorize	negative	3	0.1873779296875	-273.11750660745	0	720	760	97	34	FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F5,F3,F1,FZ,F2,F4,F6,FT7,FC5,FC3,FC1,FCZ,FC2,T7,C5,C3,C1,CZ,C2,TP9,TP7,CP5,CP3,CP1,CPZ,CP2	-4.29193880246199	C1	744	0.187378	0	0
Probe_minus_Memorize	negative	4	0.2911376953125	-192.744088110293	0	768	792	72	35	F9,F7,F5,FT9,FT7,FC5,FC3,FC1,FCZ,FT8,FT10,T7,C5,C3,C1,CZ,C6,T8,TP9,TP7,CP5,CPZ,CP2,CP6,TP8,TP10,P7,P5,PZ,P2,P4,P6,P8,PO9,POZ	-4.40094048198424	TP9	784	0.291138	0	0
Probe_minus_Memorize	negative	5	0.3582763671875	-155.928648364401	0	952	1000	52	24	T7,T8,TP9,TP7,CP5,CP3,CP2,CP4,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,PO4,PO8	-4.72720888656819	PO9	1000	0.358276	0	0
Probe_minus_Memorize	negative	6	0.6346435546875	-64.4179312875688	0	0	0	22	22	FP1,AF7,AF3,AFZ,F7,F5,F3,F1,FZ,F2,F4,F6,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,C2,C4	-4.70847684264436	FP1	0	0.634644	0	0
Probe_minus_Memorize	negative	7	0.69580078125	-52.788514439017	0	816	832	22	10	T7,TP9,TP7,CP5,CP3,P7,P5,P3,PO9,PO7	-2.87307250052396	P7	816	0.695801	0	0
Probe_minus_Memorize	negative	8	0.9293212890625	-12.9961472074087	0	768	768	5	5	OZ,PZ,P2,POZ,O1	-2.94232701253766	POZ	768	0.929321	0	0
Probe_minus_Memorize	negative	9	0.9437255859375	-10.6390928997665	0	368	368	4	4	P2,P4,P6,PO4	-2.8222091939916	P4	368	0.943726	0	0
Probe_minus_Memorize	negative	10	0.9583740234375	-9.36763060115432	0	824	824	4	4	FCZ,FC2,CZ,C2	-2.47580370481326	C2	824	0.958374	0	0
Probe_minus_Memorize	negative	11	0.9803466796875	-6.72635208699498	0	960	960	3	3	CP2,P2,P4	-2.2595706973676	P2	960	0.980347	0	0
Probe_minus_Ignore	positive	1	0	4681.62141442932	1	416	680	1272	69	OZ,O2,FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	9.29424032611258	CP1	520	< 0.000122	1	1
Probe_minus_Ignore	positive	2	0.784912109375	37.7998014501545	0	120	128	13	9	AF7,AF3,F9,F7,F5,F3,FT9,FT7,FC5	3.78483238104905	FT9	120	0.784912	0	0
Probe_minus_Ignore	positive	3	0.808349609375	32.8126752392486	0	120	128	12	10	AFZ,AF8,FZ,F2,F4,F6,F8,F10,FC6,FT8	3.81869475163204	F6	120	0.808350	0	0
Probe_minus_Ignore	negative	1	0.0086669921875	-1460.71794901875	1	784	960	519	43	O2,F7,FT9,FT7,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	-6.09443688796692	P4	952	0.008667	1	1
Probe_minus_Ignore	negative	2	0.0128173828125	-1231.23556609916	1	688	768	385	55	FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,P7,P5,P3,P1,PZ,P2,P4,PO3	-6.17645869011993	FC1	728	0.012817	1	1
Probe_minus_Ignore	negative	3	0.0133056640625	-1203.7717604641	1	168	344	379	43	FT9,FT7,FC5,FC3,FC1,FCZ,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	-7.34249992210367	TP9	288	0.013306	1	1
Probe_minus_Ignore	negative	4	0.4656982421875	-119.078889874234	0	984	1000	40	24	T7,T8,TP9,TP7,CP5,CP3,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10	-3.90992165655009	PO8	1000	0.465698	0	0
Probe_minus_Ignore	negative	5	0.6014404296875	-77.3637447545154	0	392	408	24	12	C4,C6,T8,CP2,CP4,CP6,TP8,P2,P4,P6,P8,PO4	-4.70672882114962	C6	400	0.601440	0	0
Probe_minus_Ignore	negative	6	0.8009033203125	-34.3662111049357	0	104	120	12	4	P7,P5,PO9,PO7	-3.44271055640855	PO9	112	0.800903	0	0
Probe_minus_Ignore	negative	7	0.806884765625	-33.2788007143627	0	312	320	13	8	C6,T8,CP6,TP8,TP10,P6,P8,PO8	-3.08207843903878	P8	312	0.806885	0	0
Probe_minus_Ignore	negative	8	0.9317626953125	-13.0196143442802	0	0	0	5	5	FP1,AF7,AF3,F7,F5	-3.08957344182586	AF7	0	0.931763	0	0
Probe_minus_Ignore	negative	9	0.9407958984375	-10.9667164904368	0	400	400	4	4	T7,TP9,TP7,P7	-3.4669425620238	TP9	400	0.940796	0	0
Probe_minus_Ignore	negative	10	0.96875	-7.48410495965955	0	368	368	3	3	P4,P6,PO4	-3.00396634026413	P6	368	0.968750	0	0
