contrast	frequency_hz	time_s	sensor_average_difference_db
Memorize_minus_Ignore	30	0.24	0.118348872139681
Memorize_minus_Ignore	4	0.28	-0.377270777559623
Memorize_minus_Ignore	6	0.28	-0.290531541868491
Memorize_minus_Ignore	8	0.28	-0.343291029090725
Memorize_minus_Ignore	10	0.28	-0.354276340821454
Memorize_minus_Ignore	12	0.28	-0.199942256422823
Memorize_minus_Ignore	14	0.28	-0.0469580205184686
Memorize_minus_Ignore	16	0.28	-0.0149472961272996
Memorize_minus_Ignore	18	0.28	-0.0142160472423752
Memorize_minus_Ignore	20	0.28	0.0828985110954092
Memorize_minus_Ignore	22	0.28	0.156197063259455
Memorize_minus_Ignore	24	0.28	0.19758246756232
Memorize_minus_Ignore	26	0.28	0.239246980651403
Memorize_minus_Ignore	28	0.28	0.26605039632982
Memorize_minus_Ignore	30	0.28	0.287417409016396
Memorize_minus_Ignore	4	0.32	-0.420114437691943
Memorize_minus_Ignore	6	0.32	-0.343251725599983
Memorize_minus_Ignore	8	0.32	-0.421725136491754
Memorize_minus_Ignore	10	0.32	-0.411840294928388
Memorize_minus_Ignore	12	0.32	-0.218368864473858
Memorize_minus_Ignore	14	0.32	-0.0726715686418004
Memorize_minus_Ignore	16	0.32	-0.0710063156566828
Memorize_minus_Ignore	18	0.32	-0.104070935404472
Memorize_minus_Ignore	20	0.32	-0.0625557644476225
Memorize_minus_Ignore	22	0.32	-0.00541734856073439
Memorize_minus_Ignore	24	0.32	0.0403083285186782
Memorize_minus_Ignore	26	0.32	0.0634841436908335
Memorize_minus_Ignore	28	0.32	0.0649614181662236
Memorize_minus_Ignore	30	0.32	0.0924139508443216
Memorize_minus_Ignore	4	0.36	-0.464000164009639
Memorize_minus_Ignore	6	0.36	-0.3971455699786
Memorize_minus_Ignore	8	0.36	-0.489521439510989
Memorize_minus_Ignore	10	0.36	-0.482947817460194
Memorize_minus_Ignore	12	0.36	-0.281493482669246
Memorize_minus_Ignore	14	0.36	-0.142774930379887
Memorize_minus_Ignore	16	0.36	-0.103330270129094
Memorize_minus_Ignore	18	0.36	-0.136136569976098
Memorize_minus_Ignore	20	0.36	-0.116995439602014
Memorize_minus_Ignore	22	0.36	-0.0550541686647003
Memorize_minus_Ignore	24	0.36	0.0178808690275031
Memorize_minus_Ignore	26	0.36	0.0583790901930506
Memorize_minus_Ignore	28	0.36	0.0701862694166402
Memorize_minus_Ignore	30	0.36	0.0272320179351974
Memorize_minus_Ignore	4	0.4	-0.505901678742621
Memorize_minus_Ignore	6	0.4	-0.447217875869216
Memorize_minus_Ignore	8	0.4	-0.573020530321325
Memorize_minus_Ignore	10	0.4	-0.567589135573247
Memorize_minus_Ignore	12	0.4	-0.400275764882916
Memorize_minus_Ignore	14	0.4	-0.278942176766496
Memorize_minus_Ignore	16	0.4	-0.265027639588212
Memorize_minus_Ignore	18	0.4	-0.27082694027854
Memorize_minus_Ignore	20	0.4	-0.175110176533207
Memorize_minus_Ignore	22	0.4	-0.0805466307443696
Memorize_minus_Ignore	24	0.4	-0.0064242115158645
Memorize_minus_Ignore	26	0.4	0.045573469595384
Memorize_minus_Ignore	28	0.4	0.0702062860181425
Memorize_minus_Ignore	30	0.4	0.07905974362262
Memorize_minus_Ignore	4	0.44	-0.543299666168213
Memorize_minus_Ignore	6	0.44	-0.485614379174059
Memorize_minus_Ignore	8	0.44	-0.695173010764121
Memorize_minus_Ignore	10	0.44	-0.679443526739027
Memorize_minus_Ignore	12	0.44	-0.535612373907331
Memorize_minus_Ignore	14	0.44	-0.456781616145298
Memorize_minus_Ignore	16	0.44	-0.435568144685384
Memorize_minus_Ignore	18	0.44	-0.395233027805346
Memorize_minus_Ignore	20	0.44	-0.244136172156996
Memorize_minus_Ignore	22	0.44	-0.132045067692366
Memorize_minus_Ignore	24	0.44	-0.082146390817104
Memorize_minus_Ignore	26	0.44	-0.069067689692279
Memorize_minus_Ignore	28	0.44	-0.0751663824379701
Memorize_minus_Ignore	30	0.44	-0.0820522713516784
Memorize_minus_Ignore	4	0.48	-0.571024784711513
Memorize_minus_Ignore	6	0.48	-0.51253393811741
Memorize_minus_Ignore	8	0.48	-0.842680735506884
Memorize_minus_Ignore	10	0.48	-0.813278240863952
Memorize_minus_Ignore	12	0.48	-0.669751834850365
Memorize_minus_Ignore	14	0.48	-0.608584475071365
Memorize_minus_Ignore	16	0.48	-0.55612951325831
Memorize_minus_Ignore	18	0.48	-0.48464837426198
Memorize_minus_Ignore	20	0.48	-0.336687974301683
Memorize_minus_Ignore	22	0.48	-0.190167908051904
Memorize_minus_Ignore	24	0.48	-0.0801296975682183
Memorize_minus_Ignore	26	0.48	-0.0149754508288936
Memorize_minus_Ignore	28	0.48	0.0283098712868622
Memorize_minus_Ignore	30	0.48	0.0113357773158613
Memorize_minus_Ignore	4	0.52	-0.583618381042835
Memorize_minus_Ignore	6	0.52	-0.534601171530474
Memorize_minus_Ignore	8	0.52	-0.97228649711076
Memorize_minus_Ignore	10	0.52	-0.925678707330764
Memorize_minus_Ignore	12	0.52	-0.755940945063229
Memorize_minus_Ignore	14	0.52	-0.695674286461873
Memorize_minus_Ignore	16	0.52	-0.621767290678057
Memorize_minus_Ignore	18	0.52	-0.52074018804099
Memorize_minus_Ignore	20	0.52	-0.382546847556259
Memorize_minus_Ignore	22	0.52	-0.258013401235189
Memorize_minus_Ignore	24	0.52	-0.171499882679362
Memorize_minus_Ignore	26	0.52	-0.110383773397533
Memorize_minus_Ignore	28	0.52	-0.0753071252259228
Memorize_minus_Ignore	30	0.52	-0.0405581033123289
Memorize_minus_Ignore	4	0.56	-0.578391748390583
Memorize_minus_Ignore	6	0.56	-0.557792589592249
Memorize_minus_Ignore	8	0.56	-1.04342233451211
Memorize_minus_Ignore	10	0.56	-0.980300031296679
Memorize_minus_Ignore	12	0.56	-0.782815709067176
Memorize_minus_Ignore	14	0.56	-0.702326262663224
Memorize_minus_Ignore	16	0.56	-0.625270921104102
Memorize_minus_Ignore	18	0.56	-0.457599237078401
Memorize_minus_Ignore	20	0.56	-0.302479356377364
Memorize_minus_Ignore	22	0.56	-0.190371569492722
Memorize_minus_Ignore	24	0.56	-0.128732178370444
Memorize_minus_Ignore	26	0.56	-0.0918506596980039
Memorize_minus_Ignore	28	0.56	-0.0683625439399505
Memorize_minus_Ignore	30	0.56	-0.0907594011792994
Memorize_minus_Ignore	4	0.6	-0.558070993335579
Memorize_minus_Ignore	6	0.6	-0.579493183387797
Memorize_minus_Ignore	8	0.6	-1.03100190601083
Memorize_minus_Ignore	10	0.6	-0.95802910890953
Memorize_minus_Ignore	12	0.6	-0.781500942915535
Memorize_minus_Ignore	14	0.6	-0.669909615136069
Memorize_minus_Ignore	16	0.6	-0.532191243266688
Memorize_minus_Ignore	18	0.6	-0.359740866916905
Memorize_minus_Ignore	20	0.6	-0.231224310950208
Memorize_minus_Ignore	22	0.6	-0.141872340778076
Memorize_minus_Ignore	24	0.6	-0.0655393021049877
Memorize_minus_Ignore	26	0.6	0.0239631752520535
Memorize_minus_Ignore	28	0.6	0.0972219592653936
Memorize_minus_Ignore	30	0.6	0.0709672375294722
Memorize_minus_Ignore	4	0.64	-0.527376765029405
Memorize_minus_Ignore	6	0.64	-0.589803677578506
Memorize_minus_Ignore	8	0.64	-0.949168337000254
Memorize_minus_Ignore	10	0.64	-0.884660669576449
Memorize_minus_Ignore	12	0.64	-0.734630356538548
Memorize_minus_Ignore	14	0.64	-0.601425792144
Memorize_minus_Ignore	16	0.64	-0.411859267956404
Memorize_minus_Ignore	18	0.64	-0.259798976219074
Memorize_minus_Ignore	20	0.64	-0.152990751435415
Memorize_minus_Ignore	22	0.64	-0.071471905949917
Memorize_minus_Ignore	24	0.64	-0.0194101943816775
Memorize_minus_Ignore	26	0.64	0.00553437016651667
Memorize_minus_Ignore	28	0.64	-0.00389791171169251
Memorize_minus_Ignore	30	0.64	0.0170038854150594
Memorize_minus_Ignore	4	0.68	-0.489913533840286
Memorize_minus_Ignore	6	0.68	-0.58297145486971
Memorize_minus_Ignore	8	0.68	-0.838015963888765
Memorize_minus_Ignore	10	0.68	-0.799393431709368
Memorize_minus_Ignore	12	0.68	-0.645273428472912
Memorize_minus_Ignore	14	0.68	-0.482051228064822
Memorize_minus_Ignore	16	0.68	-0.332039672835527
Memorize_minus_Ignore	18	0.68	-0.198092880347196
Memorize_minus_Ignore	20	0.68	-0.0636512142492325
Memorize_minus_Ignore	22	0.68	0.0145315881608933
Memorize_minus_Ignore	24	0.68	0.0111408152629292
Memorize_minus_Ignore	26	0.68	-0.030226154339014
Memorize_minus_Ignore	28	0.68	-0.0581754289970998
Memorize_minus_Ignore	30	0.68	-0.0771170614770196
Memorize_minus_Ignore	4	0.72	-0.446196231141364
